,precision,recall,f1-score,support
Gatak,0.5714285714285714,0.6491228070175439,0.6078028747433265,228.0
Kelihos_ver1,0.7294117647058823,0.7560975609756098,0.7425149700598803,82.0
Kelihos_ver3,0.8236196319018405,0.8443396226415094,0.8338509316770186,636.0
Lollipop,0.711645101663586,0.756385068762279,0.7333333333333333,509.0
Obfuscator.ACY,0.6576576576576577,0.5934959349593496,0.6239316239316239,246.0
Ramnit,0.7198697068403909,0.6993670886075949,0.7094703049759229,316.0
Simda,0.0,0.0,0.0,9.0
Tracur,0.6148148148148148,0.5460526315789473,0.578397212543554,152.0
Vundo,0.2948717948717949,0.21904761904761905,0.2513661202185793,105.0
accuracy,0.7030223390275953,0.7030223390275953,0.7030223390275953,0.7030223390275953
macro avg,0.5692576715427264,0.5626564815100504,0.564518596831471,2283.0
weighted avg,0.6963744735377443,0.7030223390275953,0.6986643701221118,2283.0
