,precision,recall,f1-score,support
Gatak,0.8318181818181818,0.8026315789473685,0.8169642857142857,228.0
Kelihos_ver1,0.9523809523809523,0.975609756097561,0.963855421686747,82.0
Kelihos_ver3,0.9183055975794251,0.9544025157232704,0.936006168080185,636.0
Lollipop,0.8773584905660378,0.9135559921414538,0.8950914340712223,509.0
Obfuscator.ACY,0.9049586776859504,0.8902439024390244,0.8975409836065574,246.0
Ramnit,0.9514563106796117,0.930379746835443,0.9407999999999999,316.0
Simda,1.0,0.4444444444444444,0.6153846153846153,9.0
Tracur,0.7469135802469136,0.7960526315789473,0.7707006369426751,152.0
Vundo,0.6338028169014085,0.42857142857142855,0.5113636363636364,105.0
accuracy,0.8839246605343846,0.8839246605343846,0.8839246605343846,0.8839246605343846
macro avg,0.8685549564287202,0.7928768885309935,0.8164119090944361,2283.0
weighted avg,0.8807392922321906,0.8839246605343846,0.880714624047991,2283.0
