,precision,recall,f1-score,support
Gatak,0.8614718614718615,0.8728070175438597,0.8671023965141612,228.0
Kelihos_ver1,0.9863013698630136,0.8780487804878049,0.9290322580645162,82.0
Kelihos_ver3,0.9640062597809077,0.9685534591194969,0.9662745098039217,636.0
Lollipop,0.9169960474308301,0.9115913555992141,0.9142857142857144,509.0
Obfuscator.ACY,0.9102564102564102,0.8658536585365854,0.8875000000000001,246.0
Ramnit,0.9345794392523364,0.9493670886075949,0.9419152276295133,316.0
Simda,0.2,0.1111111111111111,0.14285714285714285,9.0
Tracur,0.8064516129032258,0.8223684210526315,0.8143322475570031,152.0
Vundo,0.680672268907563,0.7714285714285715,0.7232142857142857,105.0
accuracy,0.9071397284275077,0.9071397284275077,0.9071397284275077,0.9071397284275077
macro avg,0.8067483633184609,0.79456994038743,0.7985015313806954,2283.0
weighted avg,0.9076884271706968,0.9071397284275077,0.9070407079362884,2283.0
