,precision,recall,f1-score,support
Gatak,0.8493723849372385,0.8903508771929824,0.8693790149892934,228.0
Kelihos_ver1,0.9382716049382716,0.926829268292683,0.9325153374233128,82.0
Kelihos_ver3,0.946319018404908,0.970125786163522,0.9580745341614907,636.0
Lollipop,0.90715667311412,0.9214145383104125,0.9142300194931774,509.0
Obfuscator.ACY,0.9358974358974359,0.8902439024390244,0.9125,246.0
Ramnit,0.9504643962848297,0.9715189873417721,0.9608763693270735,316.0
Simda,0.6666666666666666,0.2222222222222222,0.3333333333333333,9.0
Tracur,0.8837209302325582,0.75,0.8113879003558719,152.0
Vundo,0.7047619047619048,0.7047619047619048,0.7047619047619048,105.0
accuracy,0.9115199299167762,0.9115199299167762,0.9115199299167762,0.9115199299167762
macro avg,0.8647367794708815,0.8052741651916137,0.821895379316162,2283.0
weighted avg,0.9106876555161462,0.9115199299167762,0.910120915591964,2283.0
