,precision,recall,f1-score,support
Gatak,0.6581196581196581,0.33771929824561403,0.44637681159420295,228.0
Kelihos_ver1,0.75,0.7317073170731707,0.7407407407407408,82.0
Kelihos_ver3,0.8503787878787878,0.7059748427672956,0.7714776632302405,636.0
Lollipop,0.593167701863354,0.37524557956778,0.4596871239470518,509.0
Obfuscator.ACY,0.8557213930348259,0.6991869918699187,0.7695749440715884,246.0
Ramnit,0.6646884272997032,0.7088607594936709,0.686064318529862,316.0
Simda,0.0,0.0,0.0,9.0
Tracur,0.3273381294964029,0.5986842105263158,0.4232558139534884,152.0
Vundo,0.21875,0.8666666666666667,0.3493282149712092,105.0
accuracy,0.5935173017958826,0.5935173017958826,0.5935173017958826,0.5935173017958826
macro avg,0.5464626775214146,0.5582272962456037,0.5162784034487093,2283.0
weighted avg,0.6778745960522842,0.5935173017958826,0.6107233030563538,2283.0
