,precision,recall,f1-score,support
Gatak,0.8283261802575107,0.8464912280701754,0.8373101952277656,228.0
Kelihos_ver1,0.9166666666666666,0.9390243902439024,0.9277108433734941,82.0
Kelihos_ver3,0.9315068493150684,0.9622641509433962,0.9466357308584686,636.0
Lollipop,0.9013806706114399,0.8978388998035364,0.8996062992125985,509.0
Obfuscator.ACY,0.9487179487179487,0.9024390243902439,0.9249999999999999,246.0
Ramnit,0.9551282051282052,0.9430379746835443,0.9490445859872612,316.0
Simda,0.6666666666666666,0.2222222222222222,0.3333333333333333,9.0
Tracur,0.7710843373493976,0.8421052631578947,0.8050314465408805,152.0
Vundo,0.6551724137931034,0.5428571428571428,0.5937499999999999,105.0
accuracy,0.8961892247043364,0.8961892247043364,0.8961892247043364,0.8961892247043364
macro avg,0.8416277709451119,0.7886978107080065,0.8019358260593114,2283.0
weighted avg,0.8946426650028461,0.8961892247043364,0.8944790029960332,2283.0
