,precision,recall,f1-score,support
Gatak,0.8666666666666667,0.9122807017543859,0.8888888888888888,228.0
Kelihos_ver1,0.9294117647058824,0.9634146341463414,0.9461077844311377,82.0
Kelihos_ver3,0.9598145285935085,0.9764150943396226,0.9680436477007014,636.0
Lollipop,0.904397705544933,0.9292730844793713,0.9166666666666666,509.0
Obfuscator.ACY,0.9383259911894273,0.8658536585365854,0.9006342494714589,246.0
Ramnit,0.9296636085626911,0.9620253164556962,0.9455676516329704,316.0
Simda,0.6666666666666666,0.4444444444444444,0.5333333333333333,9.0
Tracur,0.900709219858156,0.8355263157894737,0.8668941979522186,152.0
Vundo,0.7931034482758621,0.6571428571428571,0.71875,105.0
accuracy,0.9189662724485327,0.9189662724485327,0.9189662724485327,0.9189662724485327
macro avg,0.8765288444515327,0.8384862341209753,0.8538762688974862,2283.0
weighted avg,0.9178176936660268,0.9189662724485327,0.9176078272605056,2283.0
