,precision,recall,f1-score,support
Gatak,0.8025210084033614,0.8377192982456141,0.8197424892703864,228.0
Kelihos_ver1,0.9518072289156626,0.9634146341463414,0.9575757575757576,82.0
Kelihos_ver3,0.9477726574500768,0.970125786163522,0.9588189588189587,636.0
Lollipop,0.8856589147286822,0.8978388998035364,0.8917073170731706,509.0
Obfuscator.ACY,0.9173913043478261,0.8577235772357723,0.8865546218487395,246.0
Ramnit,0.909967845659164,0.8955696202531646,0.9027113237639554,316.0
Simda,0.6,0.3333333333333333,0.42857142857142855,9.0
Tracur,0.7987804878048781,0.8618421052631579,0.8291139240506329,152.0
Vundo,0.7647058823529411,0.6190476190476191,0.6842105263157895,105.0
accuracy,0.8922470433639947,0.8922470433639947,0.8922470433639947,0.8922470433639947
macro avg,0.8420672588513992,0.8040683192768956,0.8176673719209799,2283.0
weighted avg,0.891346312883688,0.8922470433639947,0.8910136494674369,2283.0
