,precision,recall,f1-score,support
Gatak,0.8776371308016878,0.9122807017543859,0.8946236559139785,228.0
Kelihos_ver1,0.975609756097561,0.975609756097561,0.975609756097561,82.0
Kelihos_ver3,0.9796557120500783,0.9842767295597484,0.9819607843137255,636.0
Lollipop,0.9426877470355731,0.93713163064833,0.9399014778325123,509.0
Obfuscator.ACY,0.9572649572649573,0.9105691056910569,0.9333333333333333,246.0
Ramnit,0.9305135951661632,0.9746835443037974,0.9520865533230293,316.0
Simda,0.75,0.3333333333333333,0.46153846153846156,9.0
Tracur,0.8926174496644296,0.875,0.883720930232558,152.0
Vundo,0.8811881188118812,0.8476190476190476,0.8640776699029127,105.0
accuracy,0.9408672798948752,0.9408672798948752,0.9408672798948752,0.9408672798948752
macro avg,0.9096860518769257,0.8611670943341401,0.8763169580542303,2283.0
weighted avg,0.9406361989976652,0.9408672798948752,0.9402444320314248,2283.0
