,precision,recall,f1-score,support
Gatak,0.8065843621399177,0.8596491228070176,0.832271762208068,228.0
Kelihos_ver1,1.0,0.7926829268292683,0.8843537414965986,82.0
Kelihos_ver3,0.946236559139785,0.9685534591194969,0.9572649572649573,636.0
Lollipop,0.829225352112676,0.925343811394892,0.8746518105849582,509.0
Obfuscator.ACY,0.9310344827586207,0.8780487804878049,0.903765690376569,246.0
Ramnit,0.9113924050632911,0.9113924050632911,0.9113924050632911,316.0
Simda,1.0,0.2222222222222222,0.3636363636363636,9.0
Tracur,0.8731343283582089,0.7697368421052632,0.8181818181818181,152.0
Vundo,0.75,0.5142857142857142,0.6101694915254237,105.0
accuracy,0.8869908015768725,0.8869908015768725,0.8869908015768725,0.8869908015768725
macro avg,0.8941786099524999,0.76021280936833,0.7950764489264497,2283.0
weighted avg,0.887991367093835,0.8869908015768725,0.8840664796642953,2283.0
