,precision,recall,f1-score,support
Gatak,0.648,0.7105263157894737,0.6778242677824269,228.0
Kelihos_ver1,0.7272727272727273,0.7804878048780488,0.7529411764705882,82.0
Kelihos_ver3,0.9003215434083601,0.8805031446540881,0.890302066772655,636.0
Lollipop,0.7426470588235294,0.793713163064833,0.7673314339981006,509.0
Obfuscator.ACY,0.7142857142857143,0.6504065040650406,0.6808510638297872,246.0
Ramnit,0.823728813559322,0.7689873417721519,0.7954173486088381,316.0
Simda,0.0,0.0,0.0,9.0
Tracur,0.6666666666666666,0.6842105263157895,0.6753246753246753,152.0
Vundo,0.3979591836734694,0.37142857142857144,0.3842364532019705,105.0
accuracy,0.7604029785370127,0.7604029785370127,0.7604029785370127,0.7604029785370127
macro avg,0.6245424119655322,0.6266959302186663,0.6249142762210047,2283.0
weighted avg,0.7608952503737785,0.7604029785370127,0.7599318204097686,2283.0
