,precision,recall,f1-score,support
Gatak,0.13559322033898305,0.03508771929824561,0.05574912891986062,228.0
Kelihos_ver1,0.759493670886076,0.7317073170731707,0.7453416149068323,82.0
Kelihos_ver3,0.9239332096474954,0.7830188679245284,0.8476595744680852,636.0
Lollipop,0.6096256684491979,0.22396856581532418,0.3275862068965517,509.0
Obfuscator.ACY,0.8125,0.5284552845528455,0.6403940886699508,246.0
Ramnit,0.5549597855227882,0.6550632911392406,0.6008708272859217,316.0
Simda,0.0,0.0,0.0,9.0
Tracur,0.2964426877470356,0.4934210526315789,0.3703703703703704,152.0
Vundo,0.16751269035532995,0.9428571428571428,0.28448275862068967,105.0
accuracy,0.5216819973718791,0.5216819973718791,0.5216819973718791,0.5216819973718791
macro avg,0.4733401036607673,0.4881754712546752,0.4302727300153625,2283.0
weighted avg,0.6259330420834233,0.5216819973718791,0.531432674408569,2283.0
