,precision,recall,f1-score,support
Gatak,0.6040816326530613,0.6491228070175439,0.6257928118393236,228.0
Kelihos_ver1,0.7804878048780488,0.7804878048780488,0.7804878048780488,82.0
Kelihos_ver3,0.8803680981595092,0.9025157232704403,0.891304347826087,636.0
Lollipop,0.7281191806331471,0.768172888015717,0.7476099426386233,509.0
Obfuscator.ACY,0.7509881422924901,0.7723577235772358,0.7615230460921844,246.0
Ramnit,0.7921146953405018,0.6993670886075949,0.7428571428571428,316.0
Simda,0.5,0.1111111111111111,0.1818181818181818,9.0
Tracur,0.7021276595744681,0.6513157894736842,0.6757679180887372,152.0
Vundo,0.45652173913043476,0.4,0.4263959390862945,105.0
accuracy,0.7577748576434516,0.7577748576434516,0.7577748576434516,0.7577748576434516
macro avg,0.6883121058512957,0.6371612151057084,0.648173015013847,2283.0
weighted avg,0.7562272883101988,0.7577748576434516,0.7557100194442679,2283.0
