,precision,recall,f1-score,support
Gatak,0.8914027149321267,0.8640350877192983,0.8775055679287306,228.0
Kelihos_ver1,0.95,0.926829268292683,0.9382716049382716,82.0
Kelihos_ver3,0.9808917197452229,0.9685534591194969,0.9746835443037974,636.0
Lollipop,0.8533568904593639,0.9489194499017681,0.8986046511627905,509.0
Obfuscator.ACY,0.9482758620689655,0.8943089430894309,0.9205020920502092,246.0
Ramnit,0.906832298136646,0.9240506329113924,0.9153605015673981,316.0
Simda,0.6,0.3333333333333333,0.42857142857142855,9.0
Tracur,0.9084507042253521,0.8486842105263158,0.8775510204081632,152.0
Vundo,0.8620689655172413,0.7142857142857143,0.7812500000000001,105.0
accuracy,0.9159001314060446,0.9159001314060446,0.9159001314060446,0.9159001314060446
macro avg,0.8779199061205465,0.8247777887977148,0.8458111567700877,2283.0
weighted avg,0.9168559906736804,0.9159001314060446,0.9151430678101609,2283.0
