,precision,recall,f1-score,support
Gatak,0.33111111111111113,0.6535087719298246,0.4395280235988201,228.0
Kelihos_ver1,0.7974683544303798,0.7682926829268293,0.782608695652174,82.0
Kelihos_ver3,0.8304195804195804,0.7468553459119497,0.7864238410596026,636.0
Lollipop,0.7242798353909465,0.34577603143418467,0.4680851063829787,509.0
Obfuscator.ACY,0.6230366492146597,0.483739837398374,0.5446224256292905,246.0
Ramnit,0.6310160427807486,0.37341772151898733,0.46918489065606356,316.0
Simda,0.0,0.0,0.0,9.0
Tracur,0.4117647058823529,0.5986842105263158,0.4879356568364611,152.0
Vundo,0.21987951807228914,0.6952380952380952,0.3340961098398169,105.0
accuracy,0.5536574682435392,0.5536574682435392,0.5536574682435392,0.5536574682435392
macro avg,0.5076639774780074,0.5183902996538401,0.47916497218391196,2283.0
weighted avg,0.6465329380966711,0.5536574682435392,0.5669264292646943,2283.0
