,precision,recall,f1-score,support
Gatak,0.8257261410788381,0.8728070175438597,0.8486140724946695,228.0
Kelihos_ver1,1.0,0.8170731707317073,0.8993288590604027,82.0
Kelihos_ver3,0.9197622585438335,0.9732704402515723,0.9457601222307104,636.0
Lollipop,0.8280701754385965,0.9273084479371316,0.8748841519925856,509.0
Obfuscator.ACY,0.8780487804878049,0.8780487804878049,0.8780487804878049,246.0
Ramnit,0.9335443037974683,0.9335443037974683,0.9335443037974683,316.0
Simda,0.0,0.0,0.0,9.0
Tracur,0.9272727272727272,0.6710526315789473,0.7786259541984732,152.0
Vundo,0.7333333333333333,0.41904761904761906,0.5333333333333333,105.0
accuracy,0.8821725799386771,0.8821725799386771,0.8821725799386771,0.8821725799386771
macro avg,0.7828619688836224,0.721350267930679,0.743571064177272,2283.0
weighted avg,0.878522790382634,0.8821725799386771,0.8757773066635407,2283.0
