,precision,recall,f1-score,support
Gatak,0.8259109311740891,0.8947368421052632,0.8589473684210528,228.0
Kelihos_ver1,1.0,0.8048780487804879,0.8918918918918919,82.0
Kelihos_ver3,0.9335347432024169,0.9716981132075472,0.9522342064714946,636.0
Lollipop,0.8442028985507246,0.9155206286836935,0.878416588124411,509.0
Obfuscator.ACY,0.9688888888888889,0.8861788617886179,0.9256900212314225,246.0
Ramnit,0.9259259259259259,0.9493670886075949,0.9375000000000001,316.0
Simda,0.0,0.0,0.0,9.0
Tracur,0.926829268292683,0.75,0.8290909090909092,152.0
Vundo,0.7142857142857143,0.5714285714285714,0.634920634920635,105.0
accuracy,0.8961892247043364,0.8961892247043364,0.8961892247043364,0.8961892247043364
macro avg,0.7932864855911603,0.7493120171779751,0.7676324022390909,2283.0
weighted avg,0.8938030540457712,0.8961892247043364,0.8928464143135111,2283.0
