,precision,recall,f1-score,support
Gatak,0.9672897196261683,0.9672897196261683,0.9672897196261683,214.0
Kelihos_ver1,0.9754601226993865,1.0,0.9875776397515528,159.0
Kelihos_ver3,0.9967637540453075,0.9967637540453075,0.9967637540453075,618.0
Lollipop,0.9378068739770867,0.9630252100840336,0.9502487562189055,595.0
Obfuscator.ACY,0.9375,0.9051724137931034,0.9210526315789473,232.0
Ramnit,0.920265780730897,0.8710691823899371,0.8949919224555735,318.0
Simda,0.5,0.42857142857142855,0.4615384615384615,7.0
Tracur,0.8313253012048193,0.8625,0.8466257668711658,160.0
Vundo,0.9626168224299065,0.9626168224299065,0.9626168224299065,107.0
accuracy,0.9485477178423236,0.9485477178423236,0.9485477178423236,0.9485477178423236
macro avg,0.8921142638570636,0.8841120589933205,0.8876339416128877,2410.0
weighted avg,0.9484439070501102,0.9485477178423236,0.9483009910655974,2410.0
