,precision,recall,f1-score,support
Gatak,0.9534883720930233,0.9579439252336449,0.9557109557109558,214.0
Kelihos_ver1,0.9813664596273292,0.9937106918238994,0.9874999999999999,159.0
Kelihos_ver3,0.9967637540453075,0.9967637540453075,0.9967637540453075,618.0
Lollipop,0.9469320066334992,0.9596638655462185,0.9532554257095159,595.0
Obfuscator.ACY,0.9288888888888889,0.9008620689655172,0.9146608315098467,232.0
Ramnit,0.8958990536277602,0.8930817610062893,0.8944881889763779,318.0
Simda,0.0,0.0,0.0,7.0
Tracur,0.8323353293413174,0.86875,0.8501529051987767,160.0
Vundo,0.9902912621359223,0.9532710280373832,0.9714285714285714,107.0
accuracy,0.9477178423236514,0.9477178423236514,0.9477178423236514,0.9477178423236514
macro avg,0.8362183473770054,0.8360052327398066,0.8359956258421501,2410.0
weighted avg,0.9456602745537711,0.9477178423236514,0.9466130712857844,2410.0
