,precision,recall,f1-score,support
Gatak,0.9363636363636364,0.9626168224299065,0.9493087557603687,214.0
Kelihos_ver1,0.9875776397515528,1.0,0.99375,159.0
Kelihos_ver3,0.9951534733441034,0.9967637540453075,0.9959579628132579,618.0
Lollipop,0.9258064516129032,0.9647058823529412,0.9448559670781892,595.0
Obfuscator.ACY,0.9082969432314411,0.896551724137931,0.9023861171366595,232.0
Ramnit,0.9124579124579124,0.8522012578616353,0.88130081300813,318.0
Simda,0.5,0.2857142857142857,0.36363636363636365,7.0
Tracur,0.8387096774193549,0.8125,0.8253968253968254,160.0
Vundo,0.9809523809523809,0.9626168224299065,0.9716981132075471,107.0
accuracy,0.9414937759336099,0.9414937759336099,0.9414937759336099,0.9414937759336099
macro avg,0.8872575683481428,0.8592967276635459,0.869810102004149,2410.0
weighted avg,0.9405843602817263,0.9414937759336099,0.940679472032066,2410.0
