,precision,recall,f1-score,support
Gatak,0.6862745098039216,0.6140350877192983,0.6481481481481481,228.0
Kelihos_ver1,0.8539325842696629,0.926829268292683,0.888888888888889,82.0
Kelihos_ver3,0.9781591263650546,0.9858490566037735,0.9819890368050117,636.0
Lollipop,0.7169042769857433,0.6915520628683693,0.7040000000000001,509.0
Obfuscator.ACY,0.7651515151515151,0.8211382113821138,0.7921568627450979,246.0
Ramnit,0.49107142857142855,0.5221518987341772,0.5061349693251533,316.0
Simda,0.09090909090909091,0.1111111111111111,0.09999999999999999,9.0
Tracur,0.4140127388535032,0.4276315789473684,0.42071197411003236,152.0
Vundo,0.6555555555555556,0.5619047619047619,0.6051282051282051,105.0
accuracy,0.738939991239597,0.738939991239597,0.738939991239597,0.738939991239597
macro avg,0.627996758496164,0.6291336708404063,0.6274620094611708,2283.0
weighted avg,0.7400323421429769,0.738939991239597,0.7388276891020075,2283.0
