,precision,recall,f1-score,support
Gatak,0.80859375,0.9078947368421053,0.8553719008264463,228.0
Kelihos_ver1,0.9634146341463414,0.9634146341463414,0.9634146341463414,82.0
Kelihos_ver3,0.995260663507109,0.9905660377358491,0.9929078014184397,636.0
Lollipop,0.8920570264765784,0.8605108055009824,0.8760000000000001,509.0
Obfuscator.ACY,0.96,0.8780487804878049,0.9171974522292994,246.0
Ramnit,0.7090395480225988,0.7943037974683544,0.7492537313432835,316.0
Simda,0.2222222222222222,0.2222222222222222,0.2222222222222222,9.0
Tracur,0.75,0.5921052631578947,0.6617647058823529,152.0
Vundo,0.831858407079646,0.8952380952380953,0.8623853211009175,105.0
accuracy,0.8791064388961892,0.8791064388961892,0.8791064388961892,0.8791064388961892
macro avg,0.7924940279393884,0.7893671525332944,0.7889464187965891,2283.0
weighted avg,0.8821567294724503,0.8791064388961892,0.8790764789545146,2283.0
