,precision,recall,f1-score,support
Gatak,0.37755102040816324,0.4868421052631579,0.4252873563218391,228.0
Kelihos_ver1,0.15337423312883436,0.6097560975609756,0.2450980392156863,82.0
Kelihos_ver3,0.9219330855018587,0.779874213836478,0.8449744463373083,636.0
Lollipop,0.7375,0.2318271119842829,0.3527653213751868,509.0
Obfuscator.ACY,0.43790849673202614,0.8170731707317073,0.5702127659574467,246.0
Ramnit,0.34831460674157305,0.1962025316455696,0.25101214574898784,316.0
Simda,0.07692307692307693,0.1111111111111111,0.09090909090909093,9.0
Tracur,0.18518518518518517,0.29605263157894735,0.22784810126582275,152.0
Vundo,0.4583333333333333,0.3142857142857143,0.3728813559322034,105.0
accuracy,0.48926850635129215,0.48926850635129215,0.48926850635129215,0.48926850635129215
macro avg,0.4107803375504501,0.4270027431108827,0.37566540256261916,2283.0
weighted avg,0.5935845921663071,0.48926850635129215,0.49418338456997113,2283.0
