,precision,recall,f1-score,support
Gatak,0.958904109589041,0.9502262443438914,0.9545454545454545,221.0
Kelihos_ver1,0.96,0.9917355371900827,0.975609756097561,121.0
Kelihos_ver3,0.9919224555735057,0.9951377633711507,0.993527508090615,617.0
Lollipop,0.9161904761904762,0.9524752475247524,0.9339805825242719,505.0
Obfuscator.ACY,0.93359375,0.908745247148289,0.9210019267822736,263.0
Ramnit,0.8840125391849529,0.889589905362776,0.8867924528301886,317.0
Simda,0.4,0.3333333333333333,0.3636363636363636,6.0
Tracur,0.8854961832061069,0.7435897435897436,0.808362369337979,156.0
Vundo,0.9026548672566371,0.9622641509433962,0.9315068493150683,106.0
accuracy,0.9368512110726643,0.9368512110726643,0.9368512110726643,0.9368512110726643
macro avg,0.8703082645556356,0.8585663525341573,0.8632181403510862,2312.0
weighted avg,0.9363131944053668,0.9368512110726643,0.9360003376841977,2312.0
