,precision,recall,f1-score,support
Gatak,0.9316239316239316,0.956140350877193,0.9437229437229437,228.0
Kelihos_ver1,0.9875,0.9634146341463414,0.9753086419753086,82.0
Kelihos_ver3,0.9968454258675079,0.9937106918238994,0.9952755905511811,636.0
Lollipop,0.9172932330827067,0.9587426326129665,0.9375600384245917,509.0
Obfuscator.ACY,0.9380530973451328,0.8617886178861789,0.8983050847457628,246.0
Ramnit,0.8753894080996885,0.8892405063291139,0.8822605965463108,316.0
Simda,0.6666666666666666,0.2222222222222222,0.3333333333333333,9.0
Tracur,0.8,0.7894736842105263,0.794701986754967,152.0
Vundo,0.941747572815534,0.9238095238095239,0.9326923076923078,105.0
accuracy,0.932544897065265,0.932544897065265,0.932544897065265,0.932544897065265
macro avg,0.8950132595001298,0.8398380959908851,0.854795613749634,2283.0
weighted avg,0.9321720599882279,0.932544897065265,0.9316085276434577,2283.0
