,precision,recall,f1-score,support
Gatak,0.9437229437229437,0.956140350877193,0.9498910675381265,228.0
Kelihos_ver1,0.9404761904761905,0.9634146341463414,0.9518072289156626,82.0
Kelihos_ver3,0.9984177215189873,0.9921383647798742,0.9952681388012617,636.0
Lollipop,0.8951310861423221,0.9390962671905697,0.9165867689357623,509.0
Obfuscator.ACY,0.9159663865546218,0.8861788617886179,0.9008264462809917,246.0
Ramnit,0.8969072164948454,0.8259493670886076,0.8599670510708403,316.0
Simda,0.4,0.4444444444444444,0.4210526315789474,9.0
Tracur,0.7564102564102564,0.7763157894736842,0.7662337662337663,152.0
Vundo,0.9065420560747663,0.9238095238095239,0.9150943396226416,105.0
accuracy,0.9215943933420937,0.9215943933420937,0.9215943933420937,0.9215943933420937
macro avg,0.8503970952661037,0.856387511510984,0.8529697154420002,2283.0
weighted avg,0.9222141738446843,0.9215943933420937,0.9215292875914641,2283.0
