,precision,recall,f1-score,support
Gatak,0.9646017699115044,0.956140350877193,0.9603524229074888,228.0
Kelihos_ver1,0.9518072289156626,0.9634146341463414,0.9575757575757576,82.0
Kelihos_ver3,0.9968454258675079,0.9937106918238994,0.9952755905511811,636.0
Lollipop,0.9191729323308271,0.9607072691552063,0.9394812680115274,509.0
Obfuscator.ACY,0.9307359307359307,0.8739837398373984,0.9014675052410901,246.0
Ramnit,0.8927444794952681,0.8955696202531646,0.8941548183254343,316.0
Simda,0.8,0.4444444444444444,0.5714285714285714,9.0
Tracur,0.8410596026490066,0.8355263157894737,0.8382838283828383,152.0
Vundo,0.9423076923076923,0.9333333333333333,0.937799043062201,105.0
accuracy,0.9395532194480947,0.9395532194480947,0.9395532194480947,0.9395532194480947
macro avg,0.9154750069125998,0.8729811555178283,0.8884243117206767,2283.0
weighted avg,0.939501432980961,0.9395532194480947,0.9391229229133873,2283.0
