,precision,recall,f1-score,support
Gatak,0.9070796460176991,0.9276018099547512,0.9172259507829978,221.0
Kelihos_ver1,0.9758064516129032,1.0,0.9877551020408163,121.0
Kelihos_ver3,0.9871794871794872,0.9983792544570502,0.9927477840451249,617.0
Lollipop,0.878095238095238,0.9128712871287129,0.8951456310679611,505.0
Obfuscator.ACY,0.94,0.8935361216730038,0.9161793372319688,263.0
Ramnit,0.925531914893617,0.8233438485804416,0.8714524207011686,317.0
Simda,0.14285714285714285,0.16666666666666666,0.15384615384615383,6.0
Tracur,0.7682926829268293,0.8076923076923077,0.7875,156.0
Vundo,0.9272727272727272,0.9622641509433962,0.9444444444444444,106.0
accuracy,0.9204152249134948,0.9204152249134948,0.9204152249134948,0.9204152249134948
macro avg,0.8280128100950717,0.8324839385662588,0.8295885360178485,2312.0
weighted avg,0.9215745453065854,0.9204152249134948,0.9203672145344334,2312.0
