,precision,recall,f1-score,support
Gatak,0.9301310043668122,0.9638009049773756,0.9466666666666667,221.0
Kelihos_ver1,0.9834710743801653,0.9834710743801653,0.9834710743801653,121.0
Kelihos_ver3,0.9983792544570502,0.9983792544570502,0.9983792544570502,617.0
Lollipop,0.9233716475095786,0.9544554455445544,0.9386562804284323,505.0
Obfuscator.ACY,0.9333333333333333,0.9049429657794676,0.918918918918919,263.0
Ramnit,0.9306930693069307,0.889589905362776,0.9096774193548387,317.0
Simda,0.2,0.16666666666666666,0.1818181818181818,6.0
Tracur,0.8766233766233766,0.8653846153846154,0.8709677419354839,156.0
Vundo,0.9622641509433962,0.9622641509433962,0.9622641509433962,106.0
accuracy,0.9463667820069204,0.9463667820069204,0.9463667820069204,0.9463667820069204
macro avg,0.8598074345467381,0.8543283314995631,0.8567577432114594,2312.0
weighted avg,0.9460688799081372,0.9463667820069204,0.9460380836477923,2312.0
