,precision,recall,f1-score,support
Gatak,0.9205607476635514,0.8914027149321267,0.9057471264367817,221.0
Kelihos_ver1,1.0,0.9752066115702479,0.9874476987447699,121.0
Kelihos_ver3,1.0,0.9951377633711507,0.9975629569455727,617.0
Lollipop,0.8461538461538461,0.9584158415841584,0.8987929433611883,505.0
Obfuscator.ACY,0.9829787234042553,0.8783269961977186,0.927710843373494,263.0
Ramnit,0.8226299694189603,0.8485804416403786,0.8354037267080746,317.0
Simda,0.0,0.0,0.0,6.0
Tracur,0.8188405797101449,0.7243589743589743,0.7687074829931972,156.0
Vundo,0.9893617021276596,0.8773584905660378,0.93,106.0
accuracy,0.9165224913494809,0.9165224913494809,0.9165224913494809,0.9165224913494809
macro avg,0.820058396497602,0.794309759357866,0.8057080865070086,2312.0
weighted avg,0.9172405678904764,0.9165224913494809,0.9153751591021159,2312.0
