,precision,recall,f1-score,support
Gatak,0.8482142857142857,0.8333333333333334,0.84070796460177,228.0
Kelihos_ver1,0.8953488372093024,0.9390243902439024,0.9166666666666666,82.0
Kelihos_ver3,0.9952456418383518,0.9874213836477987,0.9913180741910024,636.0
Lollipop,0.7961904761904762,0.8212180746561886,0.8085106382978723,509.0
Obfuscator.ACY,0.8247011952191236,0.8414634146341463,0.8329979879275654,246.0
Ramnit,0.6959247648902821,0.7025316455696202,0.6992125984251968,316.0
Simda,0.25,0.2222222222222222,0.23529411764705882,9.0
Tracur,0.6307692307692307,0.5394736842105263,0.5815602836879432,152.0
Vundo,0.8348623853211009,0.8666666666666667,0.8504672897196262,105.0
accuracy,0.8396846254927727,0.8396846254927727,0.8396846254927727,0.8396846254927727
macro avg,0.7523618685724615,0.7503727572427117,0.7507484023516335,2283.0
weighted avg,0.8382062355011108,0.8396846254927727,0.8386074701740953,2283.0
