,precision,recall,f1-score,support
Gatak,0.27564102564102566,0.18859649122807018,0.22395833333333334,228.0
Kelihos_ver1,0.46808510638297873,0.8048780487804879,0.5919282511210763,82.0
Kelihos_ver3,0.7883096366508688,0.7845911949685535,0.7864460204885736,636.0
Lollipop,0.8281938325991189,0.3693516699410609,0.5108695652173912,509.0
Obfuscator.ACY,0.6060606060606061,0.6504065040650406,0.627450980392157,246.0
Ramnit,0.4861111111111111,0.22151898734177214,0.3043478260869565,316.0
Simda,0.0,0.0,0.0,9.0
Tracur,0.20416666666666666,0.6447368421052632,0.310126582278481,152.0
Vundo,0.34946236559139787,0.6190476190476191,0.44673539518900346,105.0
accuracy,0.5208059570740254,0.5208059570740254,0.5208059570740254,0.5208059570740254
macro avg,0.44511448341153037,0.4759030397197631,0.4224292171229969,2283.0
weighted avg,0.6108513465593133,0.5208059570740254,0.5275454251158285,2283.0
