,precision,recall,f1-score,support
Gatak,0.7662337662337663,0.8009049773755657,0.7831858407079646,221.0
Kelihos_ver1,0.9083969465648855,0.9834710743801653,0.9444444444444445,121.0
Kelihos_ver3,0.9918831168831169,0.9902755267423015,0.9910786699107867,617.0
Lollipop,0.7926356589147286,0.80990099009901,0.8011753183153771,505.0
Obfuscator.ACY,0.8576779026217228,0.870722433460076,0.8641509433962263,263.0
Ramnit,0.7101449275362319,0.6182965299684543,0.6610455311973019,317.0
Simda,0.14285714285714285,0.16666666666666666,0.15384615384615383,6.0
Tracur,0.591715976331361,0.6410256410256411,0.6153846153846154,156.0
Vundo,0.8484848484848485,0.7924528301886793,0.8195121951219513,106.0
accuracy,0.833044982698962,0.833044982698962,0.833044982698962,0.833044982698962
macro avg,0.7344478096030894,0.7415240744340622,0.7370915235916469,2312.0
weighted avg,0.8327491536607105,0.833044982698962,0.8322082287055429,2312.0
