,precision,recall,f1-score,support
Gatak,0.275,0.1493212669683258,0.19354838709677416,221.0
Kelihos_ver1,0.5625,0.743801652892562,0.6405693950177935,121.0
Kelihos_ver3,0.8549222797927462,0.8022690437601296,0.8277591973244147,617.0
Lollipop,0.8254716981132075,0.3465346534653465,0.4881450488145049,505.0
Obfuscator.ACY,0.5267605633802817,0.7110266159695817,0.6051779935275081,263.0
Ramnit,0.4789272030651341,0.3943217665615142,0.4325259515570934,317.0
Simda,0.0,0.0,0.0,6.0
Tracur,0.19274809160305342,0.6474358974358975,0.29705882352941176,156.0
Vundo,0.25925925925925924,0.19811320754716982,0.22459893048128343,106.0
accuracy,0.5307093425605537,0.5307093425605537,0.5307093425605537,0.5307093425605537
macro avg,0.4417321216904091,0.4436471227333919,0.4121537474831982,2312.0
weighted avg,0.614660851856191,0.5307093425605537,0.5380384804450546,2312.0
