,precision,recall,f1-score,support
Gatak,0.9806763285024155,0.9485981308411215,0.9643705463182899,214.0
Kelihos_ver1,1.0,0.9874213836477987,0.9936708860759493,159.0
Kelihos_ver3,1.0,0.9935275080906149,0.9967532467532468,618.0
Lollipop,0.8804347826086957,0.9529411764705882,0.9152542372881357,595.0
Obfuscator.ACY,1.0,0.875,0.9333333333333333,232.0
Ramnit,0.7959770114942529,0.8710691823899371,0.8318318318318318,318.0
Simda,0.0,0.0,0.0,7.0
Tracur,0.8455882352941176,0.71875,0.777027027027027,160.0
Vundo,0.9801980198019802,0.9252336448598131,0.9519230769230769,107.0
accuracy,0.9273858921161826,0.9273858921161826,0.9273858921161826,0.9273858921161826
macro avg,0.8314304864112736,0.8080601140333193,0.8182404650612101,2410.0
weighted avg,0.927808890196155,0.9273858921161826,0.9262135663440192,2410.0
