,precision,recall,f1-score,support
Gatak,0.9344978165938864,0.9385964912280702,0.936542669584245,228.0
Kelihos_ver1,1.0,0.9390243902439024,0.9685534591194969,82.0
Kelihos_ver3,1.0,0.9889937106918238,0.9944664031620553,636.0
Lollipop,0.8686131386861314,0.9351669941060904,0.9006622516556292,509.0
Obfuscator.ACY,0.9587155963302753,0.8495934959349594,0.9008620689655173,246.0
Ramnit,0.8171091445427728,0.8765822784810127,0.8458015267175573,316.0
Simda,1.0,0.2222222222222222,0.3636363636363636,9.0
Tracur,0.8,0.7368421052631579,0.7671232876712328,152.0
Vundo,0.9306930693069307,0.8952380952380953,0.9126213592233011,105.0
accuracy,0.9154621112571178,0.9154621112571178,0.9154621112571178,0.9154621112571178
macro avg,0.9232920850511108,0.8202510870454817,0.8433632655261554,2283.0
weighted avg,0.9178987684733414,0.9154621112571178,0.9147861988358545,2283.0
