,precision,recall,f1-score,support
Gatak,0.907103825136612,0.7942583732057417,0.846938775510204,209.0
Kelihos_ver1,1.0,0.881578947368421,0.9370629370629371,76.0
Kelihos_ver3,0.9735449735449735,0.9355932203389831,0.9541918755401902,590.0
Lollipop,0.9516483516483516,0.8891170431211499,0.9193205944798302,487.0
Obfuscator.ACY,0.9583333333333334,0.8922413793103449,0.9241071428571428,232.0
Ramnit,0.9400630914826499,0.9400630914826499,0.9400630914826499,317.0
Simda,0.0,0.0,0.0,7.0
Tracur,0.9494949494949495,0.6266666666666667,0.7550200803212852,150.0
Vundo,0.6511627906976745,0.5283018867924528,0.5833333333333333,106.0
micro avg,0.9412060301507538,0.8615455381784729,0.899615754082613,2174.0
macro avg,0.8145945905931717,0.7208689564762678,0.7622264256208414,2174.0
weighted avg,0.9361590674652083,0.8615455381784729,0.8953029097990749,2174.0
samples avg,0.8615455381784729,0.8615455381784729,0.8615455381784729,2174.0
