,precision,recall,f1-score,support
Gatak,0.0,0.0,0.0,209.0
Kelihos_ver1,0.0,0.0,0.0,76.0
Kelihos_ver3,0.7888513513513513,0.7915254237288135,0.790186125211506,590.0
Lollipop,0.9396551724137931,0.44763860369609854,0.6063977746870655,487.0
Obfuscator.ACY,0.0,0.0,0.0,232.0
Ramnit,0.0,0.0,0.0,317.0
Simda,0.0,0.0,0.0,7.0
Tracur,0.0,0.0,0.0,150.0
Vundo,0.0,0.0,0.0,106.0
micro avg,0.8313106796116505,0.31508739650413986,0.45697131420947296,2174.0
macro avg,0.19205628041834938,0.13768489193610134,0.15517598887761905,2174.0
weighted avg,0.42457882532788155,0.31508739650413986,0.3502877323585048,2174.0
samples avg,0.31508739650413986,0.31508739650413986,0.31508739650413986,2174.0
