,precision,recall,f1-score,support
Gatak,0.0,0.0,0.0,209.0
Kelihos_ver1,0.0,0.0,0.0,76.0
Kelihos_ver3,0.7629032258064516,0.8016949152542373,0.7818181818181817,590.0
Lollipop,0.9587628865979382,0.19096509240246407,0.3184931506849315,487.0
Obfuscator.ACY,0.0,0.0,0.0,232.0
Ramnit,0.0,0.0,0.0,317.0
Simda,0.0,0.0,0.0,7.0
Tracur,0.0,0.0,0.0,150.0
Vundo,0.0,0.0,0.0,106.0
micro avg,0.7894002789400278,0.26034958601655933,0.3915600138360429,2174.0
macro avg,0.19129623471159884,0.11029555640630015,0.12225681472256815,2174.0
weighted avg,0.42181712465455495,0.26034958601655933,0.2835229492439232,2174.0
samples avg,0.26034958601655933,0.26034958601655933,0.26034958601655933,2174.0
