,precision,recall,f1-score,support
Gatak,0.8904761904761904,0.8538812785388128,0.8717948717948718,219.0
Kelihos_ver1,0.948051948051948,0.9012345679012346,0.9240506329113924,81.0
Kelihos_ver3,0.9498432601880877,0.9711538461538461,0.9603803486529319,624.0
Lollipop,0.8998073217726397,0.9211045364891519,0.9103313840155945,507.0
Obfuscator.ACY,0.926530612244898,0.926530612244898,0.9265306122448981,245.0
Ramnit,0.9347181008902077,0.9487951807228916,0.9417040358744394,332.0
Simda,0.5,0.14285714285714285,0.22222222222222224,7.0
Tracur,0.8,0.8461538461538461,0.8224299065420562,156.0
Vundo,0.7666666666666667,0.6160714285714286,0.6831683168316831,112.0
accuracy,0.9097678493210688,0.9097678493210688,0.9097678493210688,0.9097678493210688
macro avg,0.8462326778100708,0.7919758266259169,0.8069569256766767,2283.0
weighted avg,0.9076671380485344,0.9097678493210688,0.9078413227401728,2283.0
