,precision,recall,f1-score,support
Gatak,1.0,1.0,1.0,219.0
Kelihos_ver1,0.8461538461538461,0.13580246913580246,0.23404255319148934,81.0
Kelihos_ver3,0.8836424957841484,0.8397435897435898,0.8611339359079705,624.0
Lollipop,0.44919786096256686,0.8284023668639053,0.5825242718446603,507.0
Obfuscator.ACY,0.5746753246753247,0.7224489795918367,0.6401446654611211,245.0
Ramnit,0.5162790697674419,0.33433734939759036,0.40585009140767825,332.0
Simda,0.0,0.0,0.0,7.0
Tracur,0.0,0.0,0.0,156.0
Vundo,0.0,0.0,0.0,112.0
accuracy,0.6403854577310556,0.6403854577310556,0.6403854577310556,0.6403854577310556
macro avg,0.47443873303814754,0.4289705283036361,0.4137439464236577,2283.0
weighted avg,0.6039749453018121,0.6403854577310556,0.5966809032087826,2283.0
