,precision,recall,f1-score,support
Gatak,0.9954545454545455,1.0,0.9977220956719818,219.0
Kelihos_ver1,0.972972972972973,0.8888888888888888,0.9290322580645162,81.0
Kelihos_ver3,0.9872408293460925,0.9919871794871795,0.9896083133493205,624.0
Lollipop,0.9117082533589251,0.9368836291913215,0.9241245136186771,507.0
Obfuscator.ACY,0.8968253968253969,0.9224489795918367,0.909456740442656,245.0
Ramnit,0.953416149068323,0.9246987951807228,0.9388379204892966,332.0
Simda,0.75,0.42857142857142855,0.5454545454545454,7.0
Tracur,0.8203592814371258,0.8782051282051282,0.8482972136222909,156.0
Vundo,0.8020833333333334,0.6875,0.7403846153846154,112.0
accuracy,0.9351730179588261,0.9351730179588261,0.9351730179588261,0.9351730179588261
macro avg,0.8988956401996351,0.8510204476796118,0.869213135121989,2283.0
weighted avg,0.934912607613107,0.9351730179588261,0.9344661335380066,2283.0
