,precision,recall,f1-score,support
Gatak,1.0,1.0,1.0,219.0
Kelihos_ver1,0.7049180327868853,0.5308641975308642,0.6056338028169014,81.0
Kelihos_ver3,0.9886578449905482,0.8381410256410257,0.9071986123156982,624.0
Lollipop,0.46932515337423314,0.9053254437869822,0.6181818181818182,507.0
Obfuscator.ACY,0.7319148936170212,0.7020408163265306,0.7166666666666666,245.0
Ramnit,0.5335968379446641,0.4066265060240964,0.46153846153846156,332.0
Simda,0.0,0.0,0.0,7.0
Tracur,0.0,0.0,0.0,156.0
Vundo,0.5,0.03571428571428571,0.06666666666666667,112.0
accuracy,0.6811213315812528,0.6811213315812528,0.6811213315812528,0.6811213315812528
macro avg,0.5476014180792613,0.49096803055819827,0.4862095586873569,2283.0
weighted avg,0.67605869812719,0.6811213315812528,0.6499549816741638,2283.0
