,precision,recall,f1-score,support
Gatak,0.9818181818181818,0.9863013698630136,0.9840546697038723,219.0
Kelihos_ver1,0.9358974358974359,0.9012345679012346,0.9182389937106918,81.0
Kelihos_ver3,0.9642857142857143,0.9951923076923077,0.9794952681388013,624.0
Lollipop,0.9655172413793104,0.883629191321499,0.9227600411946447,507.0
Obfuscator.ACY,0.8976377952755905,0.9306122448979591,0.9138276553106213,245.0
Ramnit,0.9373134328358209,0.9457831325301205,0.9415292353823088,332.0
Simda,1.0,0.42857142857142855,0.6,7.0
Tracur,0.7512953367875648,0.9294871794871795,0.830945558739255,156.0
Vundo,0.8478260869565217,0.6964285714285714,0.7647058823529412,112.0
accuracy,0.9312308366184845,0.9312308366184845,0.9312308366184845,0.9312308366184845
macro avg,0.9201768028040155,0.855248888188146,0.8728397005036819,2283.0
weighted avg,0.9340014520549597,0.9312308366184845,0.9307401520126555,2283.0
