,precision,recall,f1-score,support
Gatak,0.9336283185840708,0.9634703196347032,0.9483146067415731,219.0
Kelihos_ver1,0.9506172839506173,0.9506172839506173,0.9506172839506173,81.0
Kelihos_ver3,0.9983922829581994,0.9951923076923077,0.9967897271268059,624.0
Lollipop,0.9005736137667304,0.9289940828402367,0.9145631067961165,507.0
Obfuscator.ACY,0.9574468085106383,0.9183673469387755,0.9375000000000001,245.0
Ramnit,0.8791946308724832,0.7891566265060241,0.8317460317460318,332.0
Simda,0.14285714285714285,0.14285714285714285,0.14285714285714285,7.0
Tracur,0.7430167597765364,0.8525641025641025,0.7940298507462686,156.0
Vundo,0.9821428571428571,0.9821428571428571,0.9821428571428571,112.0
accuracy,0.9246605343845817,0.9246605343845817,0.9246605343845817,0.9246605343845817
macro avg,0.8319855220465863,0.835929118902974,0.8331734007897126,2283.0
weighted avg,0.9261629034496149,0.9246605343845817,0.9246855116098393,2283.0
