,precision,recall,f1-score,support
Gatak,0.7652582159624414,0.7442922374429224,0.7546296296296297,219.0
Kelihos_ver1,0.7922077922077922,0.7530864197530864,0.7721518987341771,81.0
Kelihos_ver3,0.9684542586750788,0.9839743589743589,0.9761526232114467,624.0
Lollipop,0.7757936507936508,0.7712031558185405,0.7734915924826905,507.0
Obfuscator.ACY,0.752895752895753,0.7959183673469388,0.773809523809524,245.0
Ramnit,0.7507987220447284,0.7078313253012049,0.7286821705426356,332.0
Simda,0.2,0.2857142857142857,0.23529411764705882,7.0
Tracur,0.6280487804878049,0.6602564102564102,0.64375,156.0
Vundo,0.7614678899082569,0.7410714285714286,0.751131221719457,112.0
accuracy,0.8090232150678931,0.8090232150678931,0.8090232150678931,0.8090232150678931
macro avg,0.7105472292195008,0.7159275543532418,0.7121214197529577,2283.0
weighted avg,0.8093683168788295,0.8090232150678931,0.808932210498739,2283.0
