,precision,recall,f1-score,support
Gatak,0.9372197309417041,0.954337899543379,0.9457013574660634,219.0
Kelihos_ver1,0.961038961038961,0.9135802469135802,0.9367088607594937,81.0
Kelihos_ver3,1.0,0.9951923076923077,0.9975903614457832,624.0
Lollipop,0.9158699808795411,0.9447731755424064,0.9300970873786407,507.0
Obfuscator.ACY,0.9149797570850202,0.9224489795918367,0.9186991869918698,245.0
Ramnit,0.8685015290519877,0.8554216867469879,0.8619119878603945,332.0
Simda,0.16666666666666666,0.14285714285714285,0.15384615384615383,7.0
Tracur,0.815068493150685,0.7628205128205128,0.7880794701986755,156.0
Vundo,0.9557522123893806,0.9642857142857143,0.96,112.0
accuracy,0.9290407358738502,0.9290407358738502,0.9290407358738502,0.9290407358738502
macro avg,0.8372330368004384,0.8284130739993186,0.832514940660786,2283.0
weighted avg,0.9283028930105961,0.9290407358738502,0.9285199408936933,2283.0
