,precision,recall,f1-score,support
Gatak,0.3076923076923077,0.0365296803652968,0.06530612244897958,219.0
Kelihos_ver1,0.4375,0.7777777777777778,0.56,81.0
Kelihos_ver3,0.8967297762478486,0.8349358974358975,0.8647302904564315,624.0
Lollipop,0.759493670886076,0.23668639053254437,0.3609022556390978,507.0
Obfuscator.ACY,0.7850877192982456,0.7306122448979592,0.7568710359408033,245.0
Ramnit,0.3253731343283582,0.32831325301204817,0.32683658170914537,332.0
Simda,0.011627906976744186,0.14285714285714285,0.02150537634408602,7.0
Tracur,0.186,0.5961538461538461,0.28353658536585363,156.0
Vundo,0.3422222222222222,0.6875,0.45697329376854595,112.0
accuracy,0.5129215943933421,0.5129215943933421,0.5129215943933421,0.5129215943933421
macro avg,0.45019185973908915,0.48570735922583474,0.4107401712969937,2283.0
weighted avg,0.6199042676151225,0.5129215943933421,0.5132446729989726,2283.0
