,precision,recall,f1-score,support
Gatak,0.9074889867841409,0.9406392694063926,0.9237668161434976,219.0
Kelihos_ver1,0.9733333333333334,0.9012345679012346,0.935897435897436,81.0
Kelihos_ver3,1.0,0.9967948717948718,0.9983948635634029,624.0
Lollipop,0.8724584103512015,0.9309664694280079,0.900763358778626,507.0
Obfuscator.ACY,0.9525862068965517,0.9020408163265307,0.9266247379454926,245.0
Ramnit,0.8639240506329114,0.822289156626506,0.8425925925925926,332.0
Simda,1.0,0.2857142857142857,0.4444444444444445,7.0
Tracur,0.7307692307692307,0.7307692307692307,0.7307692307692306,156.0
Vundo,0.9732142857142857,0.9732142857142857,0.9732142857142857,112.0
accuracy,0.9163381515549716,0.9163381515549716,0.9163381515549716,0.9163381515549716
macro avg,0.9193082782757396,0.831518105964594,0.8529408628721121,2283.0
weighted avg,0.9172680278815453,0.9163381515549716,0.9157568793061509,2283.0
