,precision,recall,f1-score,support
Gatak,0.9502262443438914,0.958904109589041,0.9545454545454545,219.0
Kelihos_ver1,1.0,0.9382716049382716,0.9681528662420382,81.0
Kelihos_ver3,0.9968,0.9983974358974359,0.9975980784627702,624.0
Lollipop,0.9610136452241715,0.9723865877712031,0.9666666666666666,507.0
Obfuscator.ACY,0.9467213114754098,0.9428571428571428,0.9447852760736196,245.0
Ramnit,0.9667673716012085,0.963855421686747,0.9653092006033183,332.0
Simda,1.0,0.42857142857142855,0.6,7.0
Tracur,0.9155844155844156,0.9038461538461539,0.9096774193548387,156.0
Vundo,0.9655172413793104,1.0,0.9824561403508771,112.0
accuracy,0.967586508979413,0.967586508979413,0.967586508979413,0.967586508979413
macro avg,0.9669589144009342,0.9007877650174917,0.9210212335888426,2283.0
weighted avg,0.9676825467317982,0.967586508979413,0.9672215725137185,2283.0
