,precision,recall,f1-score,support
Gatak,0.8709677419354839,0.863013698630137,0.8669724770642202,219.0
Kelihos_ver1,0.9397590361445783,0.9629629629629629,0.9512195121951219,81.0
Kelihos_ver3,0.9856687898089171,0.9919871794871795,0.9888178913738019,624.0
Lollipop,0.8856589147286822,0.9013806706114399,0.8934506353861192,507.0
Obfuscator.ACY,0.9112903225806451,0.9224489795918367,0.9168356997971602,245.0
Ramnit,0.9421221864951769,0.8825301204819277,0.911353032659409,332.0
Simda,0.5,0.14285714285714285,0.22222222222222224,7.0
Tracur,0.8451612903225807,0.8397435897435898,0.842443729903537,156.0
Vundo,0.7154471544715447,0.7857142857142857,0.748936170212766,112.0
accuracy,0.911957950065703,0.911957950065703,0.911957950065703,0.911957950065703
macro avg,0.8440083818319565,0.8102931811200559,0.815805707868262,2283.0
weighted avg,0.9121658999384933,0.911957950065703,0.9115064262376036,2283.0
