,precision,recall,f1-score,support
Gatak,0.4107142857142857,0.10087719298245613,0.1619718309859155,228.0
Kelihos_ver1,0.3157894736842105,0.07317073170731707,0.11881188118811879,82.0
Kelihos_ver3,0.8495702005730659,0.9323899371069182,0.8890554722638679,636.0
Lollipop,0.5445544554455446,0.8644400785854617,0.6681852695520121,509.0
Obfuscator.ACY,0.8262910798122066,0.7154471544715447,0.7668845315904139,246.0
Ramnit,0.5828092243186582,0.879746835443038,0.7011349306431274,316.0
Simda,0.0,0.0,0.0,9.0
Tracur,0.3,0.019736842105263157,0.037037037037037035,152.0
Vundo,0.5,0.009523809523809525,0.01869158878504673,105.0
accuracy,0.6657906263688129,0.6657906263688129,0.6657906263688129,0.6657906263688129
macro avg,0.4810809688386635,0.39948139799175647,0.37353028244950437,2283.0
weighted avg,0.6231177310073208,0.6657906263688129,0.6000973340300212,2283.0
