,precision,recall,f1-score,support
Gatak,0.6536964980544747,0.7671232876712328,0.7058823529411764,219.0
Kelihos_ver1,0.9264705882352942,0.7777777777777778,0.8456375838926173,81.0
Kelihos_ver3,0.9887278582930756,0.9839743589743589,0.9863453815261043,624.0
Lollipop,0.7014925373134329,0.7416173570019724,0.7209971236816874,507.0
Obfuscator.ACY,0.7313432835820896,0.8,0.7641325536062379,245.0
Ramnit,0.7307692307692307,0.6295180722891566,0.6763754045307443,332.0
Simda,0.0,0.0,0.0,7.0
Tracur,0.7021276595744681,0.6346153846153846,0.6666666666666666,156.0
Vundo,0.75,0.6696428571428571,0.7075471698113206,112.0
accuracy,0.7884362680683311,0.7884362680683311,0.7884362680683311,0.7884362680683311
macro avg,0.6871808506468962,0.6671410106080822,0.6748426929618394,2283.0
weighted avg,0.791131386202537,0.7884362680683311,0.7880527079828855,2283.0
