,precision,recall,f1-score,support
Gatak,0.9545454545454546,0.958904109589041,0.9567198177676538,219.0
Kelihos_ver1,0.9868421052631579,0.9259259259259259,0.9554140127388535,81.0
Kelihos_ver3,0.9983974358974359,0.9983974358974359,0.9983974358974359,624.0
Lollipop,0.971830985915493,0.9526627218934911,0.9621513944223107,507.0
Obfuscator.ACY,0.9163346613545816,0.9387755102040817,0.9274193548387096,245.0
Ramnit,0.9441176470588235,0.9668674698795181,0.9553571428571428,332.0
Simda,0.8,0.5714285714285714,0.6666666666666666,7.0
Tracur,0.9050632911392406,0.9166666666666666,0.910828025477707,156.0
Vundo,1.0,1.0,1.0,112.0
accuracy,0.9640823477879983,0.9640823477879983,0.9640823477879983,0.9640823477879983
macro avg,0.9419035090193542,0.914403156831637,0.9258837611851644,2283.0
weighted avg,0.9642737184424216,0.9640823477879983,0.9640267560667187,2283.0
