,precision,recall,f1-score,support
Gatak,0.6928104575163399,0.4840182648401826,0.5698924731182795,219.0
Kelihos_ver1,0.7974683544303798,0.7777777777777778,0.7875,81.0
Kelihos_ver3,0.9630314232902033,0.8349358974358975,0.8944206008583692,624.0
Lollipop,0.7786885245901639,0.3747534516765286,0.5059920106524634,507.0
Obfuscator.ACY,0.8317757009345794,0.726530612244898,0.775599128540305,245.0
Ramnit,0.5315985130111525,0.8614457831325302,0.6574712643678162,332.0
Simda,0.0,0.0,0.0,7.0
Tracur,0.3659305993690852,0.7435897435897436,0.4904862579281184,156.0
Vundo,0.5952380952380952,0.8928571428571429,0.7142857142857143,112.0
accuracy,0.683311432325887,0.683311432325887,0.683311432325887,0.683311432325887
macro avg,0.6173935187088887,0.6328787415060779,0.599516383305674,2283.0
weighted avg,0.7516753001411116,0.683311432325887,0.6868455796971532,2283.0
