,precision,recall,f1-score,support
Gatak,0.7601809954751131,0.7671232876712328,0.7636363636363636,219.0
Kelihos_ver1,0.8518518518518519,0.8518518518518519,0.8518518518518519,81.0
Kelihos_ver3,0.9919614147909968,0.9887820512820513,0.9903691813804173,624.0
Lollipop,0.780952380952381,0.8086785009861933,0.7945736434108527,507.0
Obfuscator.ACY,0.8060836501901141,0.8653061224489796,0.8346456692913388,245.0
Ramnit,0.8032786885245902,0.7379518072289156,0.7692307692307692,332.0
Simda,0.5,0.14285714285714285,0.22222222222222224,7.0
Tracur,0.6624203821656051,0.6666666666666666,0.6645367412140575,156.0
Vundo,0.6915887850467289,0.6607142857142857,0.6757990867579908,112.0
accuracy,0.8322382829610162,0.8322382829610162,0.8322382829610162,0.8322382829610162
macro avg,0.7609242387774868,0.721103524078591,0.7296517254439849,2283.0
weighted avg,0.8317481210737182,0.8322382829610162,0.83130142763464,2283.0
