,precision,recall,f1-score,support
Gatak,0.9141414141414141,0.8264840182648402,0.8681055155875299,219.0
Kelihos_ver1,0.9864864864864865,0.9012345679012346,0.9419354838709678,81.0
Kelihos_ver3,0.9904,0.9919871794871795,0.9911929543634908,624.0
Lollipop,0.8623188405797102,0.9388560157790927,0.898961284230406,507.0
Obfuscator.ACY,0.896414342629482,0.9183673469387755,0.9072580645161291,245.0
Ramnit,0.9176470588235294,0.9397590361445783,0.9285714285714286,332.0
Simda,1.0,0.42857142857142855,0.6,7.0
Tracur,0.9224806201550387,0.7628205128205128,0.8350877192982455,156.0
Vundo,0.8378378378378378,0.8303571428571429,0.8340807174887893,112.0
accuracy,0.9202803328953132,0.9202803328953132,0.9202803328953132,0.9202803328953132
macro avg,0.9253029556281666,0.8376041387516429,0.8672436853252209,2283.0
weighted avg,0.921740157394633,0.9202803328953132,0.9194675082769551,2283.0
