,precision,recall,f1-score,support
Gatak,0.29347826086956524,0.3698630136986301,0.32727272727272727,219.0
Kelihos_ver1,0.7349397590361446,0.7530864197530864,0.7439024390243902,81.0
Kelihos_ver3,0.8810408921933085,0.7596153846153846,0.8158347676419965,624.0
Lollipop,0.49613601236476046,0.6331360946745562,0.5563258232235702,507.0
Obfuscator.ACY,0.6952380952380952,0.5959183673469388,0.6417582417582418,245.0
Ramnit,0.4827586206896552,0.29518072289156627,0.36635514018691595,332.0
Simda,0.0,0.0,0.0,7.0
Tracur,0.6821705426356589,0.5641025641025641,0.6175438596491227,156.0
Vundo,0.15736040609137056,0.2767857142857143,0.2006472491909385,112.0
accuracy,0.5694261936049059,0.5694261936049059,0.5694261936049059,0.5694261936049059
macro avg,0.4914580654576177,0.4719653645964934,0.47440447199421143,2283.0
weighted avg,0.6043646518377641,0.5694261936049059,0.5785093832694403,2283.0
