,precision,recall,f1-score,support
Gatak,0.9377777777777778,0.9634703196347032,0.9504504504504505,219.0
Kelihos_ver1,1.0,0.8395061728395061,0.912751677852349,81.0
Kelihos_ver3,1.0,0.9919871794871795,0.99597747385358,624.0
Lollipop,0.8786231884057971,0.9566074950690335,0.9159584513692162,507.0
Obfuscator.ACY,0.9775784753363229,0.889795918367347,0.9316239316239315,245.0
Ramnit,0.9037900874635568,0.9337349397590361,0.9185185185185184,332.0
Simda,0.0,0.0,0.0,7.0
Tracur,0.9172413793103448,0.8525641025641025,0.883720930232558,156.0
Vundo,0.9629629629629629,0.9285714285714286,0.9454545454545454,112.0
accuracy,0.9408672798948752,0.9408672798948752,0.9408672798948752,0.9408672798948752
macro avg,0.8419970968063069,0.8173597284769263,0.8282728865950166,2283.0
weighted avg,0.9401409690646685,0.9408672798948752,0.9395137094554161,2283.0
