,precision,recall,f1-score,support
Gatak,0.3793103448275862,0.04824561403508772,0.08560311284046691,228.0
Kelihos_ver1,0.2857142857142857,0.04878048780487805,0.08333333333333334,82.0
Kelihos_ver3,0.8291666666666667,0.9386792452830188,0.8805309734513276,636.0
Lollipop,0.5391923990498813,0.8919449901768173,0.6720947446336047,509.0
Obfuscator.ACY,0.8411214953271028,0.7317073170731707,0.7826086956521738,246.0
Ramnit,0.5748373101952278,0.8386075949367089,0.6821106821106822,316.0
Simda,0.0,0.0,0.0,9.0
Tracur,0.0,0.0,0.0,152.0
Vundo,0.0,0.0,0.0,105.0
accuracy,0.6618484450284713,0.6618484450284713,0.6618484450284713,0.6618484450284713
macro avg,0.38326027797563894,0.3886628054788535,0.3540312824468432,2283.0
weighted avg,0.5695465348391634,0.6618484450284713,0.5854285947752603,2283.0
